54903	0	0	1
55402	0	0	1
55685	0	0	1
56228	0	0	1
56286	0	0	1
56345	0	0	1
56463	0	0	1
56480	0	0	1
56487	0	0	1
56732	0	0	1
57052	0	0	1
57347	0	0	1
57495	0	0	1
57558	0	0	1
57726	0	0	1
57733	0	0	1
57881	0	0	1
58761	0	0	1
58769	0	0	1
58784	0	0	1
58819	0	0	1
58864	0	0	1
59150	0	0	1
59261	0	0	1
59263	0	0	1
59815	0	0	1
59915	0	0	1
59926	0	0	1
59990	0	0	1
60127	0	0	1
60282	0	0	1
60884	0	0	1
60886	0	0	1
60896	0	0	1
60903	0	0	1
61202	0	0	1
61925	0	0	1
62673	61202	55402	2
62981	58769	55685	2
63032	58769	56228	2
64712	60903	61925	2
64806	59261	56487	2
64937	57881	56286	2
65120	59926	57495	2
65365	60884	58761	2
65612	60886	58819	2
65726	57726	60282	2
66079	60896	57733	2
66269	58864	60127	2
66740	59150	57347	2
67598	56463	56732	2
67916	59815	56480	2
68025	57558	59263	2
69048	54903	59915	2
69141	59990	58784	2
69518	57052	56345	2
76080	63032	67598	3
76092	64806	69141	3
76269	62673	65612	3
76271	64712	65612	3
76450	69518	64937	3
76475	65120	68025	3
76514	66269	69048	3
76533	65365	62981	3
76701	67916	65726	3
76720	66740	66079	3
